source_value,source_value_high,source_currency,source_last_update,effect_id,effect_name,item_name,bp_price_ref,bp_price_keys,bp_price_all,slot,summary,defindex,scrape_timestamp
250,250,keys,1555350442,78,Hellfire,Hot Dogger,16138.75,250 keys,"16,138.75 ref",misc,Level 10 Hat,614,2026-09-11T04:38:28+00:00
54,54,keys,1451385242,78,Hellfire,Hotrod,3485.97,54 keys,"3,485.97 ref",misc,Level 1-100 Mask,148,2026-09-11T04:38:28+00:00
94,94,keys,1530540222,78,Hellfire,Hottie's Hoodie,6068.17,94 keys,"6,068.17 ref",misc,Level 1-100 Hood,377,2026-09-11T04:38:28+00:00
300,300,keys,1565486212,78,Hellfire,Hound Dog,19366.5,300 keys,"19,366.50 ref",misc,Level 1-100 Hair,145,2026-09-11T04:38:28+00:00
319,319,keys,1494283372,78,Hellfire,Infernal Impaler,20593.045,319 keys,"20,593.05 ref",misc,Level 13 Headgear,575,2026-09-11T04:38:28+00:00
845,845,keys,1694087855,78,Hellfire,Janissary Ketche,54548.975,845 keys,"54,548.98 ref",misc,Level 1-100 Hat,437,2026-09-11T04:38:28+00:00
230,230,keys,1605712070,78,Hellfire,Jumper's Jeepcap,14847.65,230 keys,"14,847.65 ref",misc,Level 1-100 Hat,417,2026-09-11T04:38:28+00:00
1100,1184,keys,1557772034,78,Hellfire,Killer Exclusive,71010.5,1100–1184 keys,"71,010.50 ref",misc,Level 10 Hat,538,2026-09-11T04:38:28+00:00
650,700,keys,1603008053,78,Hellfire,Killer's Kabuto,41960.75,650–700 keys,"41,960.75 ref",misc,Level 1-100 Helmet,152,2026-09-11T04:38:28+00:00
74,110,keys,1543321244,78,Hellfire,L'Inspecteur,4777.07,74–110 keys,"4,777.07 ref",misc,Level 10 Hat,622,2026-09-11T04:38:28+00:00
1300,1300,keys,1614485889,78,Hellfire,Large Luchador,83921.5,1300 keys,"83,921.50 ref",misc,Level 1-100 Mask,380,2026-09-11T04:38:28+00:00
690,690,keys,1675907574,78,Hellfire,Larrikin Robin,44542.95,690 keys,"44,542.95 ref",misc,Level 1-100 Hat,314,2026-09-11T04:38:28+00:00
4150,4150,keys,1770293921,78,Hellfire,Lil' Bitey,267903.25,4150 keys,"267,903.25 ref",misc,Level 1-100 Hat,30814,2026-09-11T04:38:28+00:00
100,115,keys,1527462602,78,Hellfire,Liquidator's Lid,6455.5,100–115 keys,"6,455.50 ref",misc,Level 1-100 Hat,779,2026-09-11T04:38:28+00:00
1250,1250,keys,1722718824,78,Hellfire,Little Buddy,80693.75,1250 keys,"80,693.75 ref",misc,Level 10 Hat,612,2026-09-11T04:38:28+00:00
60,63,keys,1521746776,78,Hellfire,Lord Cockswain's Pith Helmet,3873.3,60–63 keys,"3,873.30 ref",misc,Level 1-100 Headgear,439,2026-09-11T04:38:28+00:00
2400,2400,keys,1776810874,78,Hellfire,Lucky Shot,154932.0,2400 keys,"154,932.00 ref",misc,Level 1-100 Helmet,701,2026-09-11T04:38:28+00:00
5350,5350,keys,1751870522,78,Hellfire,Master's Yellow Belt,345369.25,5350 keys,"345,369.25 ref",misc,Level 1-100 Hat,110,2026-09-11T04:38:28+00:00
600,600,keys,1639008489,78,Hellfire,Medic's Mountain Cap,38733.0,600 keys,"38,733.00 ref",misc,Level 1-100 Hat,381,2026-09-11T04:38:28+00:00
2000,2000,keys,1743508888,78,Hellfire,Merc's Mohawk,129110.0,2000 keys,"129,110.00 ref",misc,Level 1-100 Hair,30413,2026-09-11T04:38:28+00:00
90,100,keys,1593903661,78,Hellfire,Metal Slug,5809.95,90–100 keys,"5,809.95 ref",misc,Level 1-100 Hat,30028,2026-09-11T04:38:28+00:00
725,725,keys,1668660324,78,Hellfire,Milkman,46802.375,725 keys,"46,802.38 ref",misc,Level 1-100 Hat,219,2026-09-11T04:38:28+00:00
950,950,keys,1678729651,78,Hellfire,Modest Metal Pile of Scrap,61327.25,950 keys,"61,327.25 ref",misc,Level 1-100 Hat,30001,2026-09-11T04:38:28+00:00
875,875,keys,1628913509,78,Hellfire,Modest Pile of Hat,56485.625,875 keys,"56,485.63 ref",misc,Level 1-100 Hat,139,2026-09-11T04:38:28+00:00
540,540,keys,1687198108,78,Hellfire,Nanobalaclava,34859.7,540 keys,"34,859.70 ref",misc,Level 10 Hat,521,2026-09-11T04:38:28+00:00
1000,1000,keys,1748816843,78,Hellfire,Napper's Respite,64555.0,1000 keys,"64,555.00 ref",misc,Level 1-100 Hat,248,2026-09-11T04:38:28+00:00
215,215,keys,1572360580,78,Hellfire,Noble Amassment of Hats,13879.325,215 keys,"13,879.33 ref",misc,Level 1-100 Hat,137,2026-09-11T04:38:28+00:00
140,175,keys,1557690189,78,Hellfire,Nuke,9037.7,140–175 keys,"9,037.70 ref",misc,Level 1-100 Hair,30885,2026-09-11T04:38:28+00:00
350,375,keys,1653485590,78,Hellfire,Ol' Snaggletooth,22594.25,350–375 keys,"22,594.25 ref",misc,Level 1-100 Hat,229,2026-09-11T04:38:28+00:00
76,76,keys,1416611056,78,Hellfire,Old Guadalajara,4906.18,76 keys,"4,906.18 ref",misc,Level 1-100 Hat,247,2026-09-11T04:38:28+00:00
300,300,keys,1631715298,78,Hellfire,One-Man Army,19366.5,300 keys,"19,366.50 ref",misc,Level 10 Hair,601,2026-09-11T04:38:28+00:00
500,500,keys,1732133757,78,Hellfire,Outdoorsman,32277.5,500 keys,"32,277.50 ref",misc,Level 10 Hat,603,2026-09-11T04:38:28+00:00
890,890,keys,1646963870,78,Hellfire,Outta Sight,57453.95,890 keys,"57,453.95 ref",misc,Level 1-100 Hat,30628,2026-09-11T04:38:28+00:00
250,250,keys,1649450408,78,Hellfire,Pampered Pyro,16138.75,250 keys,"16,138.75 ref",misc,Level 1-100 Towel,30139,2026-09-11T04:38:28+00:00
67,71,keys,1526655525,78,Hellfire,Pardner's Pompadour,4325.185,67–71 keys,"4,325.19 ref",misc,Level 1-100 Hair,30099,2026-09-11T04:38:28+00:00
85,85,keys,1450258975,78,Hellfire,Peacenik's Ponytail,5487.175,85 keys,"5,487.18 ref",misc,Level 1-100 Hair,30406,2026-09-11T04:38:28+00:00
95,100,keys,1479342317,78,Hellfire,Physician's Protector,6132.725,95–100 keys,"6,132.73 ref",misc,Level 1-100 Helmet,30625,2026-09-11T04:38:28+00:00
110,110,keys,1499268753,78,Hellfire,Pirate Bandana,7101.05,110 keys,"7,101.05 ref",misc,Level 1-100 Hat,30180,2026-09-11T04:38:28+00:00
450,450,keys,1636420712,78,Hellfire,Plumber's Pipe,29049.75,450 keys,"29,049.75 ref",misc,Level 1-100 Hat,30022,2026-09-11T04:38:28+00:00
90,90,keys,1440466994,78,Hellfire,Pom-Pommed Provocateur,5809.95,90 keys,"5,809.95 ref",misc,Level 1-100 Mask,30072,2026-09-11T04:38:28+00:00
1500,1500,keys,1706526109,78,Hellfire,Powdered Practitioner,96832.5,1500 keys,"96,832.50 ref",misc,Level 1-100 Hat,30069,2026-09-11T04:38:28+00:00
170,170,keys,1620730527,78,Hellfire,Prancer's Pride,10974.35,170 keys,"10,974.35 ref",misc,Level 1-100 Hat,318,2026-09-11T04:38:28+00:00
240,240,keys,1598392966,78,Hellfire,Professional's Panama,15493.2,240 keys,"15,493.20 ref",misc,Level 1-100 Hat,109,2026-09-11T04:38:28+00:00
600,666,keys,1726934413,78,Hellfire,Pugilist's Protector,38733.0,600–666 keys,"38,733.00 ref",misc,Level 1-100 Headgear,246,2026-09-11T04:38:28+00:00
45,45,keys,1607987434,78,Hellfire,Pure Tin Capotain,2904.975,45 keys,"2,904.98 ref",misc,Level 1-100 Hat,30021,2026-09-11T04:38:28+00:00
500,500,keys,1734986478,78,Hellfire,Pyro's Boron Beanie,32277.5,500 keys,"32,277.50 ref",misc,Level 1-100 Hat,30040,2026-09-11T04:38:28+00:00
310,325,keys,1609639878,78,Hellfire,Rebel Rouser,20012.05,310–325 keys,"20,012.05 ref",misc,Level 1-100 Hat,30120,2026-09-11T04:38:28+00:00
1950,1950,keys,1763151304,78,Hellfire,Reggaelator,125882.25,1950 keys,"125,882.25 ref",misc,Level 1-100 Hat,390,2026-09-11T04:38:28+00:00
162,162,keys,1609216735,78,Hellfire,Respectless Robo-Glove,10457.91,162 keys,"10,457.91 ref",misc,Level 1-100 Hat,30039,2026-09-11T04:38:28+00:00
213,213,keys,1603265923,78,Hellfire,Rimmed Raincatcher,13750.215,213 keys,"13,750.22 ref",misc,Level 1-100 Hat,216,2026-09-11T04:38:28+00:00
240,240,keys,1530049039,78,Hellfire,Rotation Sensation,15493.2,240 keys,"15,493.20 ref",misc,Level 1-100 Hat,30623,2026-09-11T04:38:28+00:00
65,65,keys,1422538829,78,Hellfire,Safe'n'Sound,4196.075,65 keys,"4,196.08 ref",misc,Level 1-100 Hat,178,2026-09-11T04:38:28+00:00
155,155,keys,1532414893,78,Hellfire,Samur-Eye,10006.025,155 keys,"10,006.03 ref",misc,Level 1-100 Helmet,359,2026-09-11T04:38:28+00:00
625,625,keys,1609888061,78,Hellfire,Sergeant's Drill Hat,40346.875,625 keys,"40,346.88 ref",misc,Level 1-100 Hat,183,2026-09-11T04:38:28+00:00
1600,1600,keys,1779379857,78,Hellfire,Shellmet,103288.0,1600 keys,"103,288.00 ref",misc,Level 1-100 Helmet,30897,2026-09-11T04:38:28+00:00
800,800,keys,1752689428,78,Hellfire,Shooter's Sola Topi,51644.0,800 keys,"51,644.00 ref",misc,Level 1-100 Helmet,158,2026-09-11T04:38:28+00:00
950,950,keys,1762673089,78,Hellfire,Slick Cut,61327.25,950 keys,"61,327.25 ref",misc,Level 1-100 Hair,30187,2026-09-11T04:38:28+00:00
560,560,keys,1647136276,78,Hellfire,Sober Stuntman,36150.8,560 keys,"36,150.80 ref",misc,Level 1-100 Helmet,255,2026-09-11T04:38:28+00:00
380,380,keys,1552658949,78,Hellfire,Soldered Sensei,24530.9,380 keys,"24,530.90 ref",misc,Level 1-100 Hat,30004,2026-09-11T04:38:28+00:00
1200,1250,keys,1707858012,78,Hellfire,Soldier's Slope Scopers,77466.0,1200–1250 keys,"77,466.00 ref",misc,Level 1-100 Hat,980,2026-09-11T04:38:28+00:00
207,207,keys,1596247186,78,Hellfire,Soviet Gentleman,13362.885,207 keys,"13,362.89 ref",misc,Level 1-100 Hat,821,2026-09-11T04:38:28+00:00
1500,1500,keys,1721664333,78,Hellfire,Stainless Pot,96832.5,1500 keys,"96,832.50 ref",misc,Level 1-100 Hat,98,2026-09-11T04:38:28+00:00
420,420,keys,1726775667,78,Hellfire,Stately Steel Toe,27113.1,420 keys,"27,113.10 ref",misc,Level 1-100 Hat,481,2026-09-11T04:38:28+00:00
675,675,keys,1734098002,78,Hellfire,Steel Shako,43574.625,675 keys,"43,574.63 ref",misc,Level 1-100 Hat,30017,2026-09-11T04:38:28+00:00
37,37,keys,1492746914,78,Hellfire,Strontium Stove Pipe,2388.535,37 keys,"2,388.54 ref",misc,Level 1-100 Hat,30037,2026-09-11T04:38:28+00:00
64,94,keys,1392615974,78,Hellfire,Sultan's Ceremonial,4131.52,64–94 keys,"4,131.52 ref",misc,Level 1-100 Hat,403,2026-09-11T04:38:28+00:00
2600,2600,keys,1720758513,78,Hellfire,Surgeon's Stahlhelm,167843.0,2600 keys,"167,843.00 ref",misc,Level 10 Helmet,616,2026-09-11T04:38:28+00:00
3000,3000,keys,1761431686,78,Hellfire,Swagman's Swatter,193665.0,3000 keys,"193,665.00 ref",misc,Level 10 Hat,626,2026-09-11T04:38:28+00:00
625,625,keys,1654198798,78,Hellfire,Tam O' Shanter,40346.875,625 keys,"40,346.88 ref",misc,Level 1-100 Hat,480,2026-09-11T04:38:28+00:00
800,1075,keys,1756990623,78,Hellfire,Tartan Spartan,51644.0,800–1075 keys,"51,644.00 ref",misc,Level 1-100 Helmet,30106,2026-09-11T04:38:28+00:00
147,147,keys,1592548025,78,Hellfire,Tavish DeGroot Experience,9489.585,147 keys,"9,489.59 ref",misc,Level 10 Hat,604,2026-09-11T04:38:28+00:00
84,84,keys,1430108334,78,Hellfire,Texas Ten Gallon,5422.62,84 keys,"5,422.62 ref",misc,Level 1-100 Hat,94,2026-09-11T04:38:28+00:00
19,19,keys,1426167143,78,Hellfire,Timeless Topper,1226.545,19 keys,"1,226.55 ref",misc,Level 1-100 Hat,30035,2026-09-11T04:38:28+00:00
1300,1500,keys,1787504789,78,Hellfire,Tippler's Tricorne,83921.5,1300–1500 keys,"83,921.50 ref",misc,Level 1-100 Hat,179,2026-09-11T04:38:28+00:00
3620,3620,keys,1739589778,78,Hellfire,Tough Stuff Muffs,233689.1,3620 keys,"233,689.10 ref",misc,Level 1-100 Hat,984,2026-09-11T04:38:28+00:00
180,180,keys,1529523076,78,Hellfire,Towering Pillar of Hats,11619.9,180 keys,"11,619.90 ref",misc,Level 1-100 Hat,135,2026-09-11T04:38:28+00:00
280,280,keys,1620832905,78,Hellfire,Towering Titanium Pillar of Hats,18075.4,280 keys,"18,075.40 ref",misc,Level 1-100 Hat,30008,2026-09-11T04:38:28+00:00
1000,1000,keys,1637060846,78,Hellfire,Troublemaker's Tossle Cap,64555.0,1000 keys,"64,555.00 ref",misc,Level 1-100 Hat,150,2026-09-11T04:38:28+00:00
38,47,keys,1412746092,78,Hellfire,Tsarboosh,2453.09,38–47 keys,"2,453.09 ref",misc,Level 1-100 Hat,30081,2026-09-11T04:38:28+00:00
500,500,keys,1705749274,78,Hellfire,Tungsten Toque,32277.5,500 keys,"32,277.50 ref",misc,Level 1-100 Hat,30049,2026-09-11T04:38:28+00:00
975,1025,keys,1763047531,78,Hellfire,Valley Forge,62941.125,975–1025 keys,"62,941.13 ref",misc,Level 1-100 Hat,30114,2026-09-11T04:38:28+00:00
850,1250,keys,1715611140,78,Hellfire,Vintage Merryweather,54871.75,850–1250 keys,"54,871.75 ref",misc,Level 1-100 Helmet,182,2026-09-11T04:38:28+00:00
97,97,keys,1402718223,78,Hellfire,Vintage Tyrolean,6261.835,97 keys,"6,261.84 ref",misc,Level 1-100 Hat,101,2026-09-11T04:38:28+00:00
1500,1500,keys,1524789158,78,Hellfire,Virtual Viewfinder,96832.5,1500 keys,"96,832.50 ref",misc,Level 1-100 Headset,30140,2026-09-11T04:38:28+00:00
337,395,keys,1628474611,78,Hellfire,Virus Doctor,21755.035,337–395 keys,"21,755.04 ref",misc,Level 1-100 Hat,30043,2026-09-11T04:38:28+00:00
2000,2000,keys,1664899145,78,Hellfire,Vive la France,129110.0,2000 keys,"129,110.00 ref",misc,Level 1-100 Hat,30422,2026-09-11T04:38:28+00:00
475,475,keys,1644101242,78,Hellfire,Warhood,30663.625,475 keys,"30,663.63 ref",misc,Level 1-100 Hood,30866,2026-09-11T04:38:28+00:00
400,400,keys,1634949621,78,Hellfire,Waxy Wayfinder,25822.0,400 keys,"25,822.00 ref",misc,Level 1-100 Hat,753,2026-09-11T04:38:28+00:00
255,255,keys,1551572318,78,Hellfire,Whirly Warrior,16461.525,255 keys,"16,461.53 ref",misc,Level 1-100 Helmet,30118,2026-09-11T04:38:28+00:00
550,550,keys,1534299968,78,Hellfire,Wraith Wrap,35505.25,550 keys,"35,505.25 ref",misc,Level 1-100 Apparel,937,2026-09-11T04:38:28+00:00
78,78,keys,1439314509,78,Hellfire,Ye Olde Baker Boy,5035.29,78 keys,"5,035.29 ref",misc,Level 1-100 Hat,107,2026-09-11T04:38:28+00:00
70,70,keys,1539203404,78,Hellfire,Ze Goggles,4518.85,70 keys,"4,518.85 ref",misc,Level 1-100 Glasses,177,2026-09-11T04:38:28+00:00
3800,3800,keys,1777458901,79,Darkblaze,A Rather Festive Tree,245309.0,3800 keys,"245,309.00 ref",misc,Level 1-100 Hat,341,2026-09-11T04:38:28+00:00
1000,1000,keys,1632806815,79,Darkblaze,Anger,64555.0,1000 keys,"64,555.00 ref",misc,Level 10 Hood,518,2026-09-11T04:38:28+00:00
9600,9600,keys,1639667866,79,Darkblaze,Antlers,619728.0,9600 keys,"619,728.00 ref",misc,Level 1-100 Cosmetic Item,993,2026-09-11T04:38:28+00:00
1450,1450,keys,1760476030,79,Darkblaze,Attendant,93604.75,1450 keys,"93,604.75 ref",misc,Level 1-100 Hat,213,2026-09-11T04:38:28+00:00
1800,1800,keys,1695749328,79,Darkblaze,Backbiter's Billycock,116199.0,1800 keys,"116,199.00 ref",misc,Level 1-100 Hat,108,2026-09-11T04:38:28+00:00
1200,1200,keys,1647186388,79,Darkblaze,Backwards Ballcap,77466.0,1200 keys,"77,466.00 ref",misc,Level 10 Hat,617,2026-09-11T04:38:28+00:00
670,670,keys,1720607354,79,Darkblaze,Barnstormer,43251.85,670 keys,"43,251.85 ref",misc,Level 1-100 Hat,988,2026-09-11T04:38:28+00:00
123,123,keys,1406697125,79,Darkblaze,Baron von Havenaplane,7940.265,123 keys,"7,940.27 ref",misc,Level 1-100 Hat,30136,2026-09-11T04:38:28+00:00
249,249,keys,1625019208,79,Darkblaze,Base Metal Billycock,16074.195,249 keys,"16,074.20 ref",misc,Level 1-100 Hat,30007,2026-09-11T04:38:28+00:00
90,90,keys,1541500419,79,Darkblaze,Battle Boonie,5809.95,90 keys,"5,809.95 ref",misc,Level 1-100 Hat,30907,2026-09-11T04:38:28+00:00
1600,1600,keys,1775251232,79,Darkblaze,Bear Necessities,103288.0,1600 keys,"103,288.00 ref",misc,Level 1-100 Spirit Animal,30122,2026-09-11T04:38:28+00:00
350,400,keys,1663253889,79,Darkblaze,Big Chief,22594.25,350–400 keys,"22,594.25 ref",misc,Level 1-100 Hat,309,2026-09-11T04:38:28+00:00
390,430,keys,1630742127,79,Darkblaze,Black Watch,25176.45,390–430 keys,"25,176.45 ref",misc,Level 1-100 Hat,30105,2026-09-11T04:38:28+00:00
600,600,keys,1530481349,79,Darkblaze,Blighted Beak,38733.0,600 keys,"38,733.00 ref",misc,Level 1-100 Mask,315,2026-09-11T04:38:28+00:00
900,900,keys,1740298177,79,Darkblaze,Bombing Run,58099.5,900 keys,"58,099.50 ref",misc,Level 1-100 Helmet,249,2026-09-11T04:38:28+00:00
2250,2250,keys,1775432597,79,Darkblaze,Bonk Helm,145248.75,2250 keys,"145,248.75 ref",misc,Level 1-100 Helmet,106,2026-09-11T04:38:28+00:00
1000,1000,keys,1750239325,79,Darkblaze,Bonk Leadwear,64555.0,1000 keys,"64,555.00 ref",misc,Level 1-100 Helmet,30030,2026-09-11T04:38:28+00:00
125,125,keys,1593590772,79,Darkblaze,Bootleg Base Metal Billycock,8069.375,125 keys,"8,069.38 ref",misc,Level 1-100 Hat,30047,2026-09-11T04:38:28+00:00
980,980,keys,1663043370,79,Darkblaze,Bot Dogger,63263.9,980 keys,"63,263.90 ref",misc,Level 1-100 Hat,30018,2026-09-11T04:38:28+00:00
415,415,keys,1499549126,79,Darkblaze,Boxcar Bomber,26790.325,415 keys,"26,790.33 ref",misc,Level 1-100 Hat,30546,2026-09-11T04:38:28+00:00
2000,2000,keys,1727482737,79,Darkblaze,Brim-Full of Bullets,129110.0,2000 keys,"129,110.00 ref",misc,Level 1-100 Hat,30173,2026-09-11T04:38:28+00:00
5120,5120,keys,1740087592,79,Darkblaze,Brotherhood of Arms,330521.6,5120 keys,"330,521.60 ref",misc,Level 1-100 Hat,30066,2026-09-11T04:38:28+00:00
5600,5600,keys,1783280258,79,Darkblaze,Brown Bomber,361508.0,5600 keys,"361,508.00 ref",misc,Level 1-100 Hat,671,2026-09-11T04:38:28+00:00
1100,1100,keys,1668896092,79,Darkblaze,Buccaneer's Bicorne,71010.5,1100 keys,"71,010.50 ref",misc,Level 10 Hat,607,2026-09-11T04:38:28+00:00
42,44,keys,1428415362,79,Darkblaze,Buckaroo's Hat,2711.31,42–44 keys,"2,711.31 ref",misc,Level 1-100 Hat,322,2026-09-11T04:38:28+00:00
77,77,keys,1415912951,79,Darkblaze,Bunsen Brave,4970.735,77 keys,"4,970.74 ref",misc,Level 1-100 Hat,30054,2026-09-11T04:38:28+00:00
800,800,keys,1738220297,79,Darkblaze,Burning Bandana,51644.0,800 keys,"51,644.00 ref",misc,Level 1-100 Bandana,30091,2026-09-11T04:38:28+00:00
95,110,keys,1585766949,79,Darkblaze,Cadaver's Cranium,6132.725,95–110 keys,"6,132.73 ref",misc,Level 31 Hat,290,2026-09-11T04:38:28+00:00
710,710,keys,1685800340,79,Darkblaze,Capo's Capper,45834.05,710 keys,"45,834.05 ref",misc,Level 1-100 Hat,427,2026-09-11T04:38:28+00:00
1111,1111,keys,1735607581,79,Darkblaze,Caribbean Conqueror,71720.605,1111 keys,"71,720.61 ref",misc,Level 1-100 Hat,30116,2026-09-11T04:38:28+00:00
400,400,keys,1527160698,79,Darkblaze,Charmer's Chapeau,25822.0,400 keys,"25,822.00 ref",misc,Level 1-100 Hat,397,2026-09-11T04:38:28+00:00
1810,1810,keys,1763486770,79,Darkblaze,Chieftain's Challenge,116844.55,1810 keys,"116,844.55 ref",misc,Level 1-100 Hat,250,2026-09-11T04:38:28+00:00
1350,1350,keys,1744293064,79,Darkblaze,Cloud Crasher,87149.25,1350 keys,"87,149.25 ref",misc,Level 1-100 Helmet,30071,2026-09-11T04:38:28+00:00
114,114,keys,1550420043,79,Darkblaze,Conjurer's Cowl,7359.27,114 keys,"7,359.27 ref",misc,Level 1-100 Hood,465,2026-09-11T04:38:28+00:00
420,420,keys,1587537863,79,Darkblaze,Cosa Nostra Cap,27113.1,420 keys,"27,113.10 ref",misc,Level 1-100 Hat,459,2026-09-11T04:38:28+00:00
40,40,keys,1473725401,79,Darkblaze,Coupe D'isaster,2582.2,40 keys,"2,582.20 ref",misc,Level 1-100 Hair,330,2026-09-11T04:38:28+00:00
1750,1750,keys,1770231315,79,Darkblaze,Crocleather Slouch,112971.25,1750 keys,"112,971.25 ref",misc,Level 1-100 Hat,344,2026-09-11T04:38:28+00:00
7370,7370,keys,1650250125,79,Darkblaze,Crone's Dome,475770.35,7370 keys,"475,770.35 ref",misc,Level 1-100 Hat,920,2026-09-11T04:38:28+00:00
1200,1200,keys,1769369282,79,Darkblaze,Cyborg Stunt Helmet,77466.0,1200 keys,"77,466.00 ref",misc,Level 1-100 Helmet,30024,2026-09-11T04:38:28+00:00
2925,2925,keys,1714168652,79,Darkblaze,Dark Falkirk Helm,188823.375,2925 keys,"188,823.38 ref",misc,Level 1-100 Helmet,30357,2026-09-11T04:38:28+00:00
92,116,keys,1398276342,79,Darkblaze,Das Gutenkutteharen,5939.06,92–116 keys,"5,939.06 ref",misc,Level 1-100 Hair,30127,2026-09-11T04:38:28+00:00
5600,5600,keys,1725992078,79,Darkblaze,Das Hazmattenhatten,361508.0,5600 keys,"361,508.00 ref",misc,Level 1-100 Safety Apparatus,30095,2026-09-11T04:38:28+00:00
430,430,keys,1606882261,79,Darkblaze,Das Maddendoktor,27758.65,430 keys,"27,758.65 ref",misc,Level 1-100 Hair,30121,2026-09-11T04:38:28+00:00
1200,1200,keys,1715759732,79,Darkblaze,Das Naggenvatcher,77466.0,1200 keys,"77,466.00 ref",misc,Level 1-100 Hat,30109,2026-09-11T04:38:28+00:00
21,21,keys,1423539330,79,Darkblaze,Data Mining Light,1355.655,21 keys,"1,355.66 ref",misc,Level 1-100 Helmet,30051,2026-09-11T04:38:28+00:00
75,75,keys,1459094380,79,Darkblaze,Defiant Spartan,4841.625,75 keys,"4,841.63 ref",misc,Level 1-100 Helmet,340,2026-09-11T04:38:28+00:00
1825,1825,keys,1737588935,79,Darkblaze,Desert Marauder,117812.875,1825 keys,"117,812.88 ref",misc,Level 1-100 Hat,400,2026-09-11T04:38:28+00:00
1000,1000,keys,1728062893,79,Darkblaze,Doctor's Sack,64555.0,1000 keys,"64,555.00 ref",misc,Level 1-100 Hat,398,2026-09-11T04:38:28+00:00
70,80,keys,1451716039,79,Darkblaze,Dragonborn Helmet,4518.85,70–80 keys,"4,518.85 ref",misc,Level 10 Helmet,517,2026-09-11T04:38:28+00:00
1650,1650,keys,1643645438,79,Darkblaze,Executioner,106515.75,1650 keys,"106,515.75 ref",misc,Level 1-100 Hat,921,2026-09-11T04:38:28+00:00
285,285,keys,1636226734,79,Darkblaze,FR-0,18398.175,285 keys,"18,398.18 ref",misc,Level 1-100 Hat,30016,2026-09-11T04:38:28+00:00
750,1050,keys,1674579481,79,Darkblaze,Familiar Fez,48416.25,750–1050 keys,"48,416.25 ref",misc,Level 1-100 Hat,223,2026-09-11T04:38:28+00:00
2513,2513,keys,1761224964,79,Darkblaze,Flamboyant Flamenco,162226.715,2513 keys,"162,226.72 ref",misc,Level 10 Hat,627,2026-09-11T04:38:28+00:00
5350,5350,keys,1703397896,79,Darkblaze,Flipped Trilby,345369.25,5350 keys,"345,369.25 ref",misc,Level 1-100 Hat,324,2026-09-11T04:38:28+00:00
1000,1100,keys,1714168517,79,Darkblaze,Frenchman's Beret,64555.0,1000–1100 keys,"64,555.00 ref",misc,Level 1-100 Hat,180,2026-09-11T04:38:28+00:00
490,490,keys,1602357508,79,Darkblaze,Front Runner,31631.95,490 keys,"31,631.95 ref",misc,Level 1-100 Hat,760,2026-09-11T04:38:28+00:00
515,645,keys,1637503094,79,Darkblaze,Frontier Djustice,33245.825,515–645 keys,"33,245.83 ref",misc,Level 1-100 Hat,30421,2026-09-11T04:38:28+00:00
1390,1390,keys,1770325135,79,Darkblaze,Fruit Shoot,89731.45,1390 keys,"89,731.45 ref",misc,Level 1-100 Hat,759,2026-09-11T04:38:28+00:00
1600,1600,keys,1744045506,79,Darkblaze,Full Metal Drill Hat,103288.0,1600 keys,"103,288.00 ref",misc,Level 1-100 Hat,30026,2026-09-11T04:38:28+00:00
1450,1800,keys,1704384577,79,Darkblaze,Galvanized Gibus,93604.75,1450–1800 keys,"93,604.75 ref",misc,Level 1-100 Hat,30003,2026-09-11T04:38:28+00:00
150,150,keys,1523646156,79,Darkblaze,Geisha Boy,9683.25,150 keys,"9,683.25 ref",misc,Level 1-100 Hair,363,2026-09-11T04:38:28+00:00
550,550,keys,1637518018,79,Darkblaze,Glasgow Great Helm,35505.25,550 keys,"35,505.25 ref",misc,Level 1-100 Helmet,30082,2026-09-11T04:38:28+00:00
200,200,keys,1578304752,79,Darkblaze,Glengarry Bonnet,12911.0,200 keys,"12,911.00 ref",misc,Level 1-100 Hat,100,2026-09-11T04:38:28+00:00
190,190,keys,1536926458,79,Darkblaze,Greased Lightning,12265.45,190 keys,"12,265.45 ref",misc,Level 1-100 Hair,30078,2026-09-11T04:38:28+00:00
1500,1500,keys,1727311458,79,Darkblaze,Grenadier's Softcap,96832.5,1500 keys,"96,832.50 ref",misc,Level 1-100 Hat,227,2026-09-11T04:38:28+00:00
107,107,keys,1589276817,79,Darkblaze,Gridiron Guardian,6907.385,107 keys,"6,907.39 ref",misc,Level 1-100 Helmet,30013,2026-09-11T04:38:28+00:00
1800,1800,keys,1769509994,79,Darkblaze,Halogen Head Lamp,116199.0,1800 keys,"116,199.00 ref",misc,Level 1-100 Hat,30041,2026-09-11T04:38:28+00:00
470,470,keys,1731135957,79,Darkblaze,Handyman's Handle,30340.85,470 keys,"30,340.85 ref",misc,Level 1-100 Hat,253,2026-09-11T04:38:28+00:00
1550,1550,keys,1773860952,79,Darkblaze,Hard Counter,100060.25,1550 keys,"100,060.25 ref",misc,Level 1-100 Hat,254,2026-09-11T04:38:28+00:00
4625,4625,keys,1758549612,79,Darkblaze,Hat with No Name,298566.875,4625 keys,"298,566.88 ref",misc,Level 10 Hat,631,2026-09-11T04:38:28+00:00
2100,2100,keys,1721317308,79,Darkblaze,Heavy Duty Rag,135565.5,2100 keys,"135,565.50 ref",misc,Level 1-100 Bandana,185,2026-09-11T04:38:28+00:00
